ID,country,governorate,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat,case
515,Algeria,Setif,9,3,0,0,42,1,0,0,0,0,0
517,Algeria,Setif,5,2,0,0,34,1,0,0,0,0,0
519,Algeria,Setif,5,2,0,0,34,1,0,0,0,0,0
521,Algeria,Setif,5,2,0,0,25,0,1,0,0,0,0
523,Algeria,Setif,15,6,1,1,46,1,0,0,0,0,0
525,Algeria,Setif,12,4,0,0,36,0,0,0,0,0,0
527,Algeria,Setif,9,3,0,0,29,0,0,0,0,0,0
529,Algeria,Setif,12,4,0,0,26,0,1,0,0,0,0
531,Algeria,Setif,0,1,0,0,51,1,0,0,0,0,0
533,Algeria,Setif,5,2,0,0,23,0,1,0,0,0,0
535,Algeria,Setif,5,2,0,0,22,0,0,1,0,1,0
537,Algeria,Setif,5,2,0,0,48,1,0,0,0,0,0
539,Algeria,Setif,14,5,0,0,24,0,0,1,0,1,0
541,Algeria,Setif,12,4,0,0,26,0,0,0,0,0,0
543,Algeria,Setif,14,5,0,0,20,0,1,0,0,0,0
545,Algeria,Setif,0,1,0,0,57,1,0,0,0,0,0
547,Algeria,Setif,5,2,0,0,50,1,0,0,0,0,0
549,Algeria,Setif,0,1,0,0,70,1,0,0,0,0,0
551,Algeria,Setif,9,3,0,0,21,0,0,1,0,1,0
553,Algeria,Setif,9,3,0,0,19,0,1,0,0,0,0
555,Algeria,Setif,9,3,0,0,54,1,0,0,0,0,0
557,Algeria,Setif,5,2,0,0,26,0,0,0,1,1,0
559,Algeria,Setif,0,1,0,0,65,1,0,0,0,0,0
561,Algeria,Saida,0,1,0,0,72,1,0,0,0,0,0
563,Algeria,Saida,5,2,0,0,35,1,0,0,0,0,0
565,Algeria,Saida,9,3,0,0,34,1,0,0,1,1,0
567,Algeria,Saida,12,4,0,0,39,1,0,0,0,0,0
569,Algeria,Saida,17,7,1,1,49,1,0,0,0,0,0
571,Algeria,Saida,12,4,0,0,18,0,1,0,0,0,0
573,Algeria,Saida,9,3,0,0,32,0,0,0,0,0,0
575,Algeria,Saida,9,3,0,0,31,0,0,1,0,1,0
577,Algeria,Saida,0,1,0,0,62,1,0,0,0,0,0
579,Algeria,Saida,5,2,0,0,29,1,0,0,0,0,0
581,Algeria,Skikda,5,2,0,0,55,1,0,0,0,0,0
583,Algeria,Skikda,5,2,0,0,53,1,0,0,0,0,0
585,Algeria,Skikda,9,3,0,0,19,0,0,0,0,0,0
587,Algeria,Skikda,9,3,0,0,34,0,0,0,0,0,0
589,Algeria,Skikda,15,6,0,1,23,0,1,0,0,0,0
591,Algeria,Skikda,12,4,0,0,49,1,0,0,0,0,0
593,Algeria,Skikda,9,3,0,0,55,1,0,0,0,0,0
595,Algeria,Skikda,9,3,0,0,22,0,1,0,0,0,0
597,Algeria,Skikda,5,2,0,0,32,0,0,0,0,0,0
599,Algeria,Skikda,5,2,0,0,40,1,0,0,0,0,0
601,Algeria,Skikda,5,2,0,0,49,1,0,0,0,0,0
603,Algeria,Skikda,5,2,0,0,24,0,0,0,0,0,0
605,Algeria,Skikda,15,6,1,1,41,1,0,0,0,0,0
607,Algeria,Skikda,12,4,0,0,18,0,1,0,0,0,0
609,Algeria,Skikda,12,4,0,0,30,0,0,1,0,1,0
611,Algeria,Sidi Bel Abbes,9,3,0,0,27,0,0,1,0,1,0
613,Algeria,Sidi Bel Abbes,15,6,1,1,58,1,0,0,0,0,0
615,Algeria,Sidi Bel Abbes,9,3,0,0,38,1,0,0,0,0,0
617,Algeria,Sidi Bel Abbes,9,3,0,0,23,0,0,1,0,1,0
619,Algeria,Sidi Bel Abbes,14,5,0,0,46,0,0,0,0,0,0
